T,Open,High,Low,Close,Volume BTC,Volume USD,BV,C,H,L,O,V,P
2014-05-21,493.43,497.67,490.85,494.77,4.24,2092.04,5.05828184,0.0210001,0.02333988,0.02100001,0.022000000000000002,229.59060795,0.0
2014-05-22,494.77,530.0,494.77,530.0,32.85,16875.67,2.46031499,0.0205,0.022000000000000002,0.019,0.0210001,117.42877288,0.0
2014-05-23,530.0,548.05,515.31,521.47,14.82,7949.09,12.64094211,0.0212,0.0226,0.01800005,0.0205,597.65822692,0.0
2014-05-24,521.47,530.0,515.21,530.0,2.62,1364.13,3.46825849,0.0234,0.0235,0.02010002,0.0212,150.96184827,0.0
2014-05-25,530.0,589.0,530.0,574.05,15.83,8890.61,4.6475462,0.02000021,0.02299999,0.0193,0.02126005,215.10987742,0.0
2014-05-26,574.05,589.11,563.68,583.2,10.95,6369.72,1.85626882,0.02179988,0.022000000000000002,0.018000099999999998,0.021,91.05803767,0.0
2014-05-27,583.2,594.64,538.84,570.92,26.92,15396.82,2.59295958,0.01981815,0.02179998,0.01800007,0.02,130.34427385,0.0
2014-05-28,570.92,589.16,565.22,575.83,4.52,2588.47,2.70995647,0.01955,0.01981815,0.01820011,0.01981815,146.48706409,0.0
2014-05-29,575.83,576.26,564.9,570.49,2.18,1250.18,3.19111373,0.0187001,0.0198,0.01861,0.019005,165.71847944,0.0
2014-05-30,570.49,628.61,566.15,616.08,18.38,11000.49,3.23965171,0.01853103,0.01968,0.01803102,0.01870055,175.37680394,0.0
2014-05-31,616.08,628.13,603.87,628.13,15.4,9565.16,2.32546384,0.0174,0.0189,0.0174,0.01803103,129.02956743,0.25
2014-06-01,628.13,673.37,621.79,627.54,37.05,23801.24,6.13386529,0.016784999999999998,0.018009999999999998,0.016,0.0174,363.39271016,0.25
2014-06-02,627.54,672.64,621.79,665.58,10.32,6717.1,1.17487786,0.01695,0.0186,0.016784,0.016784,67.71177333,0.25
2014-06-03,665.58,677.91,652.26,671.43,16.68,11104.41,0.85806753,0.017769999999999998,0.01789999,0.01697,0.01699,49.78690098,0.25
2014-06-04,671.43,671.43,525.0,650.48,59.16,37262.14,5.83474065,0.0175,0.017769999999999998,0.01620011,0.017769999999999998,345.31778876,0.25
2014-06-05,650.48,669.75,650.45,657.01,15.16,9940.4,2.80967988,0.0169101,0.017699799999999998,0.01645001,0.016900000000000002,163.00587665,0.25
2014-06-06,657.01,660.0,653.4,653.4,5.27,3468.93,6.5927872,0.016900000000000002,0.018000000000000002,0.0168,0.016913,384.47087085,0.25
2014-06-07,653.4,659.8,636.68,659.8,4.75,3083.79,3.23633014,0.01759,0.0179,0.016900000000000002,0.016900000000000002,187.01464256,0.25
2014-06-08,659.8,659.8,646.0,646.54,0.888,582.0,2.1731057000000003,0.01709001,0.01759,0.016919999999999998,0.017490000000000002,126.36654161,0.25
2014-06-09,646.54,656.44,636.5,643.44,4.65,3000.62,3.09575206,0.0174,0.0175,0.01709,0.01709001,179.40185347,0.25
2014-06-10,643.44,657.72,643.44,646.89,7.13,4677.87,3.89767177,0.01704997,0.0174,0.016,0.0173,230.63840381,0.25
2014-06-11,646.89,649.93,617.99,617.99,19.6,12480.24,3.09563847,0.01680027,0.017266,0.016,0.01704997,183.22355446,0.25
2014-06-12,617.99,637.06,552.0,565.56,75.97,46387.09,5.06349388,0.01682682,0.0175,0.0166,0.017266,294.67057166,0.25
2014-06-13,565.56,617.31,565.56,589.68,19.43,11458.85,1.22774972,0.0171,0.01762506,0.01682684,0.01762506,71.88548115,0.25
2014-06-14,589.68,600.0,542.96,575.6,15.89,9064.12,3.79166641,0.016919999999999998,0.01762506,0.01690001,0.0171,222.58921780000003,0.25
